	date	ticker	revenue	ebit	cash-flow-from-operating-activities	current-ratio	debt-equity-ratio	gross-margin	net-profit-margin	roe	past-eps-earnings-per-share-diluted	eps-earnings-per-share-diluted	ebitda-margin
36	2014-09-30	TSLA	851.80400	-39.12900	-27.996	1.82790	2.57680	29.56680	-8.77060	-7.79760	-0.03330	-0.04000	0
35	2014-12-31	TSLA	956.66100	-74.83970	-86.402	1.50920	2.72900	27.35530	-11.25080	-11.80550	-0.04000	-0.05730	0
34	2015-03-31	TSLA	939.88000	-102.44600	-131.79400	1.33250	3.12900	27.67090	-16.40430	-18.66610	-0.05730	-0.08130	0
33	2015-06-30	TSLA	954.97600	-170.18790	-159.516	1.10240	3.75440	22.34300	-19.29130	-25.73240	-0.08130	-0.09670	0
32	2015-09-30	TSLA	936.78900	-183.66200	-203.34	1.17430	2.03810	24.71170	-24.53680	-17.48430	-0.09670	-0.11870	0
31	2015-12-31	TSLA	1214.38000	-260.33340	-29.849	0.98970	2.48800	17.99800	-26.38360	-29.56500	-0.11870	-0.16530	0
30	2016-03-31	TSLA	1147.04800	-248.22400	-249.60500	1.01630	3.25880	22.01020	-24.60810	-29.08880	-0.16530	-0.14200	0
29	2016-06-30	TSLA	1270.01700	-238.04000	150.336	1.38160	1.30300	21.63560	-23.08540	-11.63310	-0.14200	-0.13930	0
28	2016-09-30	TSLA	2298.43600	85.62210	423.649	1.26700	1.01300	27.70300	0.95190	0.81620	-0.13930	0.00930	0
27	2016-12-31	TSLA	2284.63100	-266.69840	-448.209	1.07430	1.26930	19.05240	-5.31100	-3.96290	0.00930	-0.04000	0
26	2017-03-31	TSLA	2696.27000	-257.54910	-69.81100	1.12530	1.40930	24.77300	-12.24940	-6.85170	-0.04000	-0.13600	0
25	2017-06-30	TSLA	2789.55700	-240.91600	-200.172	0.97140	1.27820	23.89680	-12.05920	-6.45930	-0.13600	-0.13600	0
24	2017-09-30	TSLA	2984.67500	-535.48020	-300.562	1.09270	1.73320	15.04820	-20.75190	-11.62240	-0.13600	-0.24670	0
23	2017-12-31	TSLA	3288.49900	-598.05470	509.545	0.85610	1.97050	13.35870	-20.55500	-14.73330	-0.24670	-0.27000	0
22	2018-03-31	TSLA	3408.75100	-596.97410	-398.37600	0.73800	2.02490	13.39280	-20.81560	-14.76370	-0.27000	-0.27930	0
21	2018-06-30	TSLA	4002.23100	-621.39210	-129.664	0.73290	2.45720	15.46460	-17.92850	-15.71010	-0.27930	-0.28130	0
20	2018-09-30	TSLA	6824.00000	416.00000	1391.04	0.81030	2.22150	22.33290	4.55740	4.79040	-0.28130	0.11670	0
19	2018-12-31	TSLA	7226.01900	414.36620	1235	0.83130	2.07960	19.96320	1.93870	3.65350	0.11670	0.06400	0
18	2019-03-31	TSLA	4541.00000	-522.00000	-640.00000	0.83070	2.10210	12.46420	-15.63530	-12.21740	0.06400	-0.27330	0
17	2019-06-30	TSLA	6350.00000	-167.00000	864	1.06190	1.98250	14.50390	-6.42520	-5.92060	-0.27330	-0.15400	0
16	2019-09-30	TSLA	6303.00000	261.00000	756	1.07830	1.93880	18.89580	2.26880	2.17960	-0.15400	0.05330	0
15	2019-12-31	TSLA	7384.00000	359.00000	1425	1.13460	1.79710	18.83800	1.53030	1.76780	0.05330	0.04730	0
14	2020-03-31	TSLA	5985.00000	283.00000	-440.00000	1.24250	1.38870	20.61820	0.26730	0.67730	0.04730	0.00670	0
13	2020-06-30	TSLA	6036.00000	327.00000	964	1.24990	1.31840	20.99070	1.72300	1.20290	0.00670	0.03330	0
12	2020-09-30	TSLA	8771.00000	809.00000	2400	1.63460	0.81300	23.52070	3.42040	2.18450	0.03330	0.09000	0
11	2020-12-31	TSLA	10744.00000	575.00000	3019	1.87510	0.50870	19.22930	2.51300	1.28280	0.09000	0.08000	0
10	2021-03-31	TSLA	10389.00000	594.00000	1641.00000	1.66060	0.45560	21.32060	4.21600	1.94440	0.08000	0.13000	0
9	2021-06-30	TSLA	11958.00000	1312.00000	2124	1.50830	0.36660	24.11780	9.55010	4.59350	0.13000	0.34000	0
8	2021-09-30	TSLA	13757.00000	2004.00000	3147	1.38510	0.29240	26.60460	11.76130	5.94860	0.34000	0.48000	0
7	2021-12-31	TSLA	17719.00000	2613.00000	4585	1.37530	0.22030	27.35480	13.12720	7.55440	0.48000	0.68000	0
6	2022-03-31	TSLA	18756.00000	3603.00000	3995.00000	1.35400	0.13770	29.11070	17.66370	9.38560	0.68000	0.95000	0
5	2022-06-30	TSLA	16934.00000	2464.00000	2351	1.43080	0.11900	25.00300	13.34000	6.09340	0.95000	0.65000	0
4	2022-09-30	TSLA	21454.00000	3688.00000	5100	1.46240	0.08730	25.08620	15.34450	8.18370	0.65000	0.95000	0
3	2022-12-31	TSLA	24318.00000	3901.00000	3278	1.53200	0.06810	23.75610	15.29320	8.14920	0.95000	1.07000	0
2	2023-03-31	TSLA	23329.00000	2664.00000	2513.00000	1.56720	0.05480	19.33650	10.79340	5.19990	1.07000	0.73000	0
1	2023-06-30	TSLA	24927.00000	2399.00000	3065	1.59010	0.04490	18.18510	10.84370	5.03720	0.73000	0.78000	0
0	2023-09-30	TSLA	23350.00000	1764.00000	3308	1.69020	0.08100	17.89290	7.93580	3.46380	0.78000	0.53000	0
58	2009-01-31	NVDA	481.13990	-175.08320	249.36	2.78450	0.01070	29.44380	-30.69070	-6.16640	0	-0.06000	0
57	2009-04-30	NVDA	664.23100	-230.96500	142.12800	2.87780	0.01090	28.55870	-30.31140	-8.68260	-0.06000	-0.09250	0
56	2009-07-31	NVDA	776.52000	-110.10690	135.117	2.43220	0.01120	20.18270	-13.56080	-4.68550	-0.09250	-0.04750	0
55	2009-10-31	NVDA	903.20600	107.84500	141.317	2.65270	0.01020	43.37690	11.91060	4.43870	-0.04750	0.04750	0
54	2010-01-31	NVDA	982.48800	134.28190	69.245	3.16280	0.00920	44.65410	13.34120	4.91820	0.04750	0.06250	0
53	2010-04-30	NVDA	1001.81300	147.39310	-5.39700	3.56330	0.00840	45.55510	13.73450	4.80990	0.06250	0.05750	0
52	2010-07-31	NVDA	811.20800	-175.20700	34.344	3.24240	0.00860	16.55460	-17.37670	-5.10630	0.05750	-0.06250	0
51	2010-10-31	NVDA	843.91200	103.78300	212.177	3.43880	0.00810	46.45770	10.05580	2.92840	-0.06250	0.03750	0
50	2011-01-31	NVDA	886.37600	179.77810	434.673	3.42320	0.00740	48.10140	19.36550	5.39540	0.03750	0.07500	0
49	2011-04-30	NVDA	962.03900	154.86200	172.20000	3.56390	0.00670	50.36210	14.05550	3.92190	0.07500	0.05500	0
48	2011-07-31	NVDA	1016.51700	174.03000	82.021	3.45470	0.00610	51.67490	14.91100	4.10830	0.05500	0.06250	0
47	2011-10-31	NVDA	1066.18000	197.09010	244.417	3.94740	0.00550	52.21600	16.72070	4.48660	0.06250	0.07250	0
46	2012-01-31	NVDA	953.19390	122.31670	410.518	4.19950	0.00520	51.40750	12.17220	2.79870	0.07250	0.04500	0
45	2012-04-30	NVDA	924.87700	72.82600	-9.20800	4.25600	0.00490	50.10010	6.53460	1.40960	0.04500	0.02500	0
44	2012-07-31	NVDA	1044.27000	139.62300	200.886	4.12330	0.00450	51.77960	11.39990	2.67300	0.02500	0.04750	0
43	2012-10-31	NVDA	1204.11000	252.21700	181.485	4.46340	0.00420	52.87370	17.36390	4.42700	0.04750	0.08250	0
42	2013-01-31	NVDA	1106.90200	183.57330	451.009	4.89160	0.00390	52.90460	15.71710	3.60360	0.08250	0.07000	0
41	2013-04-30	NVDA	954.73900	82.78100	175.65000	4.97700	0.00380	54.31520	8.15840	1.61430	0.07000	0.03250	0
40	2013-07-31	NVDA	977.23800	105.53400	96.469	4.19180	0.00420	55.82450	9.86940	2.31170	0.03250	0.04000	0
39	2013-10-31	NVDA	1053.96700	140.98800	162.315	4.10760	0.00390	55.44910	11.26540	2.74810	0.04000	0.05000	0
38	2014-01-31	NVDA	1144.05600	166.69700	400.566	5.94900	0.30830	54.14760	12.84260	3.29700	0.05000	0.06250	0
37	2014-04-30	NVDA	1103.00000	151.00000	151.00000	5.87320	0.33120	54.75980	12.42070	3.28770	0.06250	0.06000	0
36	2014-07-31	NVDA	1103.00000	163.00000	96	6.19020	0.32200	56.11970	11.60470	2.97340	0.06000	0.05500	0
35	2014-10-31	NVDA	1225.00000	213.00000	216	5.71910	0.33110	55.18370	14.12250	4.11450	0.05500	0.07750	0
34	2015-01-31	NVDA	1251.00000	232.00000	443	6.37610	0.31640	55.95520	15.42770	4.36850	0.07750	0.08750	0
33	2015-04-30	NVDA	1151.00000	176.00000	246.00000	6.60480	0.30820	56.73330	11.64210	2.94120	0.08750	0.06000	0
32	2015-07-31	NVDA	1153.00000	76.00000	163	5.99150	0.33720	54.98700	2.25500	0.62130	0.06000	0.01250	0
31	2015-10-31	NVDA	1305.00000	245.00000	255	6.82340	0.31740	56.24520	18.85060	5.50950	0.01250	0.11000	0
30	2016-01-31	NVDA	1401.00000	250.00000	511	2.57460	0.33790	56.38830	14.84650	4.65430	0.11000	0.08750	0
29	2016-04-30	NVDA	1305.00000	245.00000	319.00000	2.43580	0.35960	57.54790	15.93870	4.95710	0.08750	0.08750	0
28	2016-07-31	NVDA	1428.00000	317.00000	200	2.55750	0.33660	57.84310	18.27730	5.82590	0.08750	0.10250	0
27	2016-10-31	NVDA	2004.00000	639.00000	432	4.07010	0.57190	59.03190	27.04590	10.18030	0.10250	0.20750	0
26	2017-01-31	NVDA	2173.00000	733.00000	721	4.77400	0.48770	59.96320	30.14270	11.36760	0.20750	0.24500	0
25	2017-04-30	NVDA	1937.00000	554.00000	282.00000	8.25640	0.36040	59.37020	26.17450	8.26810	0.24500	0.19750	0
24	2017-07-31	NVDA	2230.00000	688.00000	705	7.81980	0.34710	58.38570	26.14350	9.76060	0.19750	0.23000	0
23	2017-10-31	NVDA	2636.00000	895.00000	1157	8.25610	0.31640	59.52200	31.79060	13.19270	0.23000	0.33250	0
22	2018-01-31	NVDA	2911.00000	1073.00000	1358	8.02690	0.26770	61.86880	38.44040	14.97790	0.33250	0.44500	0
21	2018-04-30	NVDA	3207.00000	1295.00000	1445.00000	8.54250	0.25920	64.48390	38.79020	16.12030	0.44500	0.49500	0
20	2018-07-31	NVDA	3123.00000	1157.00000	913	7.40830	0.22750	63.24050	35.25460	12.51850	0.49500	0.44000	0
19	2018-10-31	NVDA	3181.00000	1058.00000	487	7.08080	0.21000	60.38980	38.66710	12.98150	0.44000	0.49250	0
18	2019-01-31	NVDA	2205.00000	294.00000	898	7.94360	0.21280	54.73920	25.66890	6.05870	0.49250	0.23000	0
17	2019-04-30	NVDA	2220.00000	358.00000	720.00000	8.98480	0.20490	58.37840	17.74780	4.06020	0.23000	0.16000	0
16	2019-07-31	NVDA	2579.00000	571.00000	936	8.64920	0.19240	59.75190	21.40360	5.34060	0.16000	0.22500	0
15	2019-10-31	NVDA	3014.00000	927.00000	1640	8.42030	0.17750	63.57000	29.82750	8.01680	0.22500	0.36250	0
14	2020-01-31	NVDA	3105.00000	990.00000	1465	7.67380	0.16310	64.89530	30.62800	7.79250	0.36250	0.38250	0
13	2020-04-30	NVDA	3080.00000	976.00000	909.00000	10.29110	0.53130	65.06490	29.77270	7.00050	0.38250	0.36750	0
12	2020-07-31	NVDA	3866.00000	651.00000	1567	6.09170	0.50020	58.84640	16.08900	4.47030	0.36750	0.25000	0
11	2020-10-31	NVDA	4726.00000	1398.00000	1279	3.92290	0.45400	62.63220	28.26920	8.71270	0.25000	0.53000	0
10	2021-01-31	NVDA	5003.00000	1507.00000	2067	4.09040	0.41220	63.10210	29.12250	8.62490	0.53000	0.58250	0
9	2021-04-30	NVDA	5661.00000	1956.00000	1874.00000	4.52720	0.37090	64.10530	33.77500	10.18430	0.58250	0.76000	0
8	2021-07-31	NVDA	6507.00000	2444.00000	2682	5.80170	0.56480	64.77640	36.48380	11.22620	0.76000	0.94000	0
7	2021-10-31	NVDA	7103.00000	2671.00000	1519	7.14450	0.45990	65.19780	34.68960	10.35380	0.94000	0.97000	0
6	2022-01-31	NVDA	7643.00000	2970.00000	3033	6.65030	0.41130	65.41930	39.27780	11.28060	0.97000	1.18000	0
5	2022-04-30	NVDA	8288.00000	1868.00000	1731.00000	5.31730	0.41590	65.52850	19.52220	6.14740	1.18000	0.64000	0
4	2022-07-31	NVDA	6704.00000	499.00000	1270	3.62050	0.45910	43.48150	9.78520	2.75040	0.64000	0.26000	0
3	2022-10-31	NVDA	5931.00000	601.00000	392	3.38770	0.51290	53.56600	11.46520	3.18520	0.26000	0.27000	0
2	2023-01-31	NVDA	6051.00000	1256.00000	2248	3.51560	0.49560	63.34490	23.36800	6.39790	0.27000	0.57000	0
1	2023-04-30	NVDA	7192.00000	2140.00000	2911.00000	3.42740	0.44670	64.62740	28.40660	8.33200	0.57000	0.82000	0
0	2023-07-31	NVDA	13507.00000	6800.00000	6348	2.78660	0.35290	70.05260	45.81330	22.50100	0.82000	2.48000	0
57	2009-03-31	AAPL	9084.00000	2323.00000	4779	2.46190		39.92740	17.83360	6.66370	0	0.06390	0
56	2009-06-30	AAPL	9734.00000	2632.00000	2270	2.11090		40.91840	18.77950	7.06120	0.06390	0.07180	0
55	2009-09-30	AAPL	12207.00000	3684.00000	3110	2.74250		41.82030	20.74220	8.00250	0.07180	0.09930	0
54	2009-12-31	AAPL	15683.00000	4725.00000	5781.00000	2.54500		40.87870	21.53930	9.44420	0.09930	0.13110	0
53	2010-03-31	AAPL	13499.00000	3979.00000	2330	2.64420		41.66980	22.77210	7.81230	0.13110	0.11890	0
52	2010-06-30	AAPL	15700.00000	4234.00000	4801	2.30800		39.08280	20.71980	7.54560	0.11890	0.12540	0
51	2010-09-30	AAPL	20343.00000	5447.00000	5683	2.01130		36.92670	21.17680	9.01430	0.12540	0.16570	0
50	2010-12-31	AAPL	26741.00000	7827.00000	9773.00000	1.84610		38.51020	22.45240	10.98310	0.16570	0.22960	0
49	2011-03-31	AAPL	24667.00000	7874.00000	6219	1.93190		41.42380	24.27130	9.73860	0.22960	0.22860	0
48	2011-06-30	AAPL	28571.00000	9379.00000	11108	1.74610		41.72760	25.57840	10.53890	0.22860	0.27820	0
47	2011-09-30	AAPL	28270.00000	8710.00000	10429	1.60840		40.25470	23.42770	8.64450	0.27820	0.25210	0
46	2011-12-31	AAPL	46333.00000	17340.00000	17554.00000	1.58270		44.68310	28.19590	14.50690	0.25210	0.49540	0
45	2012-03-31	AAPL	39186.00000	15384.00000	13977	1.58300		47.37410	29.65860	11.33880	0.49540	0.43930	0
44	2012-06-30	AAPL	35023.00000	11573.00000	10189	1.57120		42.81190	25.19490	7.89650	0.43930	0.33290	0
43	2012-09-30	AAPL	35966.00000	10944.00000	9136	1.49580		40.04060	22.86330	6.95630	0.33290	0.31000	0
42	2012-12-31	AAPL	54512.00000	17210.00000	23426.00000	1.54330		38.63370	23.99110	10.26970	0.31000	0.49320	0
41	2013-03-31	AAPL	43603.00000	12558.00000	12504	1.78370		37.49510	21.89530	7.04630	0.49320	0.36040	0
40	2013-06-30	AAPL	35323.00000	9201.00000	7828	1.87830	0.13750	36.87120	19.53400	5.59370	0.36040	0.26750	0
39	2013-09-30	AAPL	37472.00000	10030.00000	9908	1.67860	0.13730	37.01700	20.04700	6.08020	0.26750	0.29890	0
38	2013-12-31	AAPL	57594.00000	17463.00000	22670.00000	1.49430	0.13080	37.93100	22.69680	10.07990	0.29890	0.51750	0
37	2014-03-31	AAPL	45646.00000	13593.00000	13538	1.63260	0.14110	39.31780	22.39630	8.50650	0.51750	0.41500	0
36	2014-06-30	AAPL	37432.00000	10282.00000	10255	1.47060	0.25670	39.36470	20.69890	6.40650	0.41500	0.32000	0
35	2014-09-30	AAPL	42123.00000	11165.00000	13250	1.08010	0.31640	38.00540	20.10070	7.59050	0.32000	0.36000	0
34	2014-12-31	AAPL	74599.00000	24246.00000	33722.00000	1.13300	0.29520	39.86780	24.16120	14.61470	0.36000	0.76500	0
33	2015-03-31	AAPL	58010.00000	18278.00000	19081	1.15600	0.34010	40.77920	23.39080	10.51810	0.76500	0.58250	0
32	2015-06-30	AAPL	49605.00000	14083.00000	14988	1.08680	0.43300	39.67540	21.52400	8.49560	0.58250	0.46250	0
31	2015-09-30	AAPL	51501.00000	14623.00000	13475	1.10880	0.53900	39.89830	21.59960	9.32010	0.46250	0.49500	0
30	2015-12-31	AAPL	75872.00000	24171.00000	27463.00000	1.00170	0.49090	40.09780	24.20000	14.31470	0.49500	0.82000	0
29	2016-03-31	AAPL	50557.00000	13987.00000	11601	1.28310	0.61220	39.40310	20.80030	8.06090	0.82000	0.47500	0
28	2016-06-30	AAPL	42358.00000	10105.00000	10634	1.31160	0.67120	38.02350	18.40500	6.16080	0.47500	0.35500	0
27	2016-09-30	AAPL	46852.00000	11761.00000	16533	1.35270	0.67860	38.01970	19.23930	7.02850	0.35500	0.42750	0
26	2016-12-31	AAPL	78351.00000	23359.00000	27234.00000	1.22820	0.66130	38.51390	22.83440	13.51390	0.42750	0.84000	0
25	2017-03-31	AAPL	52896.00000	14097.00000	12570	1.39060	0.73480	38.92730	20.85040	8.22560	0.84000	0.52500	0
24	2017-06-30	AAPL	45408.00000	10768.00000	8672	1.38830	0.81810	38.51300	19.19710	6.58260	0.52500	0.41750	0
23	2017-09-30	AAPL	52579.00000	13120.00000	15749	1.27610	0.86300	37.90680	20.37700	7.99270	0.41750	0.52000	0
22	2017-12-31	AAPL	88293.00000	26274.00000	28293.00000	1.24200	0.87300	38.40850	22.72550	14.31180	0.52000	0.97250	0
21	2018-03-31	AAPL	61137.00000	15894.00000	15130	1.45600	0.96030	38.31070	22.60820	10.89390	0.97250	0.68250	0
20	2018-06-30	AAPL	53265.00000	12612.00000	14488	1.30730	0.99700	38.33850	21.62580	10.02100	0.68250	0.58500	0
19	2018-09-30	AAPL	62900.00000	16118.00000	19523	1.13290	1.06850	38.28940	22.45630	13.18280	0.58500	0.74000	0
18	2018-12-31	AAPL	84310.00000	23346.00000	26690.00000	1.30060	0.97320	37.99190	23.68050	16.93500	0.74000	1.04500	0
17	2019-03-31	AAPL	58015.00000	13415.00000	11155	1.31540	1.06400	37.61270	19.92760	10.92100	1.04500	0.61500	0
16	2019-06-30	AAPL	53809.00000	11544.00000	11636	1.50460	1.12400	37.59040	18.66600	10.41300	0.61500	0.54500	0
15	2019-09-30	AAPL	64040.00000	15625.00000	19910	1.54010	1.19400	37.96530	21.37100	15.12470	0.54500	0.76500	0
14	2019-12-31	AAPL	91819.00000	25569.00000	30516.00000	1.59780	1.20950	38.35480	24.21720	24.83610	0.76500	1.25000	0
13	2020-03-31	AAPL	58313.00000	12853.00000	13311	1.49600	1.39630	38.36190	19.29070	14.34360	1.25000	0.64000	0
12	2020-06-30	AAPL	59685.00000	13091.00000	16271	1.46950	1.55950	37.99950	18.85400	15.56820	0.64000	0.65000	0
11	2020-09-30	AAPL	64698.00000	14775.00000	20576	1.36360	1.72080	38.16040	19.58790	19.39580	0.65000	0.74000	0
10	2020-12-31	AAPL	111439.00000	33534.00000	38763.00000	1.16300	1.69190	39.77780	25.80340	43.42080	0.74000	1.68000	0
9	2021-03-31	AAPL	89584.00000	27503.00000	23981	1.14170	1.75840	42.50650	26.37750	34.15830	1.68000	1.40000	0
8	2021-06-30	AAPL	81434.00000	24126.00000	21094	1.06190	1.89470	43.29270	26.70140	33.82700	1.40000	1.30000	0
7	2021-09-30	AAPL	83360.00000	23786.00000	20200	1.07460	1.97680	42.19530	24.65330	32.57410	1.30000	1.23000	0
6	2021-12-31	AAPL	123945.00000	41488.00000	46966.00000	1.03780	1.70710	43.76380	27.93980	48.14270	1.23000	2.10000	0
5	2022-03-31	AAPL	97278.00000	29979.00000	28166	0.92680	1.78020	43.74990	25.70980	37.10740	2.10000	1.52000	0
4	2022-06-30	AAPL	82959.00000	23076.00000	22892	0.86460	2.05980	43.25630	23.43570	33.45900	1.52000	1.20000	0
3	2022-09-30	AAPL	90146.00000	24894.00000	24127	0.87940	2.36950	42.25920	22.98610	40.89240	1.20000	1.29000	0
2	2022-12-31	AAPL	117154.00000	36016.00000	34005.00000	0.93800	1.95870	42.96230	25.60560	52.88130	1.29000	1.88000	0
1	2023-03-31	AAPL	94836.00000	28318.00000	28560	0.94040	1.76350	44.26170	25.47560	38.86870	1.88000	1.52000	0
0	2023-06-30	AAPL	81797.00000	22998.00000	26380	0.98160	1.81310	44.51630	24.30530	32.98440	1.52000	1.26000	0
58	2009-03-31	MSFT	13648.00000	4438.00000	15196	1.70940	0.05410	79.38160	21.81270	8.05840	0	0.33000	0
57	2009-06-30	MSFT	13099.00000	3987.00000	3841	1.82290	0.14530	80.25800	23.24610	7.69760	0.33000	0.34000	0
56	2009-09-30	MSFT	12920.00000	4482.00000	6107.00000	1.81600	0.14550	78.00310	27.66250	8.67220	0.34000	0.40000	0
55	2009-12-31	MSFT	19022.00000	8513.00000	4969	2.04110	0.13540	80.92740	35.02260	15.04420	0.40000	0.74000	0
54	2010-03-31	MSFT	14503.00000	5173.00000	7393	2.06320	0.13120	81.00390	27.62190	8.76390	0.74000	0.45000	0
53	2010-06-30	MSFT	16039.00000	5930.00000	5604	2.12930	0.12860	80.23570	28.16880	9.78450	0.45000	0.51000	0
52	2010-09-30	MSFT	16195.00000	7116.00000	8194.00000	2.30430	0.22720	80.61750	33.40540	11.52490	0.51000	0.62000	0
51	2010-12-31	MSFT	19953.00000	8165.00000	4186	2.45490	0.19950	75.77810	33.24810	13.68370	0.62000	0.77000	0
50	2011-03-31	MSFT	16428.00000	5709.00000	8672	2.75610	0.22290	76.27830	31.84810	9.78820	0.77000	0.61000	0
49	2011-06-30	MSFT	17367.00000	6171.00000	5942	2.60370	0.20880	78.64920	33.82280	10.29030	0.61000	0.69000	0
48	2011-09-30	MSFT	17372.00000	7203.00000	8493.00000	2.94680	0.20080	78.25810	33.03020	9.66140	0.69000	0.68000	0
47	2011-12-31	MSFT	20885.00000	7994.00000	5862	2.85790	0.18610	73.00460	31.71650	10.33050	0.68000	0.78000	0
46	2012-03-31	MSFT	17407.00000	6374.00000	9594	2.93700	0.17390	77.29650	29.34450	7.43970	0.78000	0.60000	0
45	2012-06-30	MSFT	18059.00000	192.00000	7677	2.60290	0.18000	76.94780	-2.72440	-0.74140	0.60000	-0.06000	0
44	2012-09-30	MSFT	16008.00000	5308.00000	8484.00000	2.67660	0.17360	73.96300	27.89860	6.48790	-0.06000	0.53000	0
43	2012-12-31	MSFT	21456.00000	7771.00000	4780	2.80710	0.19550	73.47130	29.72130	8.78670	0.53000	0.76000	0
42	2013-03-31	MSFT	20489.00000	7612.00000	9666	2.92910	0.18510	76.63630	29.55240	7.89560	0.76000	0.72000	0
41	2013-06-30	MSFT	19896.00000	6073.00000	5903	2.71180	0.19760	71.16000	24.95480	6.28930	0.72000	0.57000	0
40	2013-09-30	MSFT	18529.00000	6334.00000	8205.00000	2.87240	0.19510	72.23270	28.30160	6.42320	0.57000	0.62000	0
39	2013-12-31	MSFT	24519.00000	7969.00000	4413	3.16730	0.27000	66.05900	26.74660	7.70620	0.62000	0.78000	0
38	2014-03-31	MSFT	20403.00000	6974.00000	10099	3.21520	0.25940	70.70040	27.74100	6.47420	0.78000	0.68000	0
37	2014-06-30	MSFT	23382.00000	6482.00000	9785	2.50400	0.25220	67.35520	19.72460	5.13680	0.68000	0.55000	0
36	2014-09-30	MSFT	23201.00000	5844.00000	8354.00000	2.51580	0.26310	64.34210	19.56810	5.03490	0.55000	0.54000	0
35	2014-12-31	MSFT	26470.00000	7776.00000	4340	2.45410	0.30810	61.70760	22.14960	6.38120	0.54000	0.71000	0
34	2015-03-31	MSFT	21729.00000	6594.00000	10125	2.90560	0.35360	67.04400	22.94170	5.53080	0.71000	0.61000	0
33	2015-06-30	MSFT	22180.00000	-2053.00000	6849	2.47340	0.44070	66.33000	-14.40490	-3.98960	0.61000	-0.38000	0
32	2015-09-30	MSFT	20379.00000	5793.00000	8876.00000	2.46270	0.49800	64.63520	24.05420	6.32970	-0.38000	0.61000	0
31	2015-12-31	MSFT	23796.00000	6026.00000	5618	2.99730	0.57870	58.51400	21.08760	6.53560	0.61000	0.62000	0
30	2016-03-31	MSFT	20531.00000	5283.00000	10367	2.89540	0.62020	62.38860	18.29430	5.02100	0.62000	0.47000	0
29	2016-06-30	MSFT	26448.00000	8976.00000	8464	2.35290	0.74250	69.83140	25.94900	9.53230	0.47000	0.86000	0
28	2016-09-30	MSFT	21928.00000	6715.00000	11549.00000	2.68510	1.06140	64.22840	25.84370	8.05290	0.86000	0.72000	0
27	2016-12-31	MSFT	25826.00000	7905.00000	6293	2.04770	1.23490	61.66270	24.26620	9.10780	0.72000	0.80000	0
26	2017-03-31	MSFT	23212.00000	6723.00000	10660	2.81340	1.20480	65.27660	23.63430	7.86760	0.80000	0.70000	0
